,Date,Open,High,Low,Close*,Adj Close**,Volume,percentage,z-score,Label,significance,sentiment,30_SMA,50_SMA,200_SMA,EMA,Upper Bollinger Band,Lower Bollinger Band,stoch_k,stoch_d,Gain,Loss,AVG_Gain,AVG_Loss,RS,RSI,obv,VAO,Positive,VolumePositive
48,2008-11-24,8048.09,8599.02,8048.09,8443.39,8443.39,491890000.0,0.0493349837567513,-0.937675815583214,1.0,2.0,0.0,8732.928,9342.856326530613,9342.856326530613,,,,,,396.96999999999935,0.0,,,,,-3315600000.0,58945638149.99957,True,True
49,2008-11-25,8445.14,8607.38,8281.46,8479.47,8479.47,374020000.0,0.004273165162334,-0.8748680214805492,1.0,3.0,0.0,8705.210666666666,9325.5886,9325.5886,,11343.065477261762,7308.111722738237,,,36.07999999999993,0.0,,,,,-2941580000.0,13109401000.000408,True,True
50,2008-11-26,8464.49,8726.61,8311.17,8726.61,8726.61,283920000.0,0.029145689530124,-0.6078296702847747,1.0,4.0,0.0,8710.167333333335,9287.9276,9313.843921568627,,11277.679447883569,7298.175752116433,,,247.14000000000124,0.0,143.19840000000005,180.85940000000002,0.7917664218724603,44.18915391019751,-2657660000.0,58975862400.00033,True,True
51,2008-11-28,8724.7,8831.35,8672.69,8829.04,8829.04,155510000.0,0.0117376621620537,-0.4781017443614395,1.0,3.0,0.0,8705.16,9244.1146,9304.52076923077,,11173.791002370264,7314.438197629737,,,102.43000000000029,0.0,137.04640000000006,180.85940000000002,0.757751048604607,43.1091222620034,-2502150000.0,11977380200.000069,True,True
52,2008-12-01,8826.89,8827.05,8141.36,8149.09,8149.09,321010000.0,-0.0770129028750578,-1.119613585627139,0.0,2.0,0.0,8681.722333333333,9179.3276,9282.720188679245,,11031.095749059261,7327.55945094074,,,0.0,679.9500000000007,129.67140000000006,194.45840000000004,0.6668336261123203,40.00600993799398,-2823160000.0,-107575266149.99992,False,False
53,2008-12-02,8153.75,8437.17,8143.51,8419.09,8419.09,307520000.0,0.0331325338166592,-0.8172775990678609,1.0,2.0,0.0,8653.511,9127.3956,9266.727037037037,,10913.434253215017,7341.356946784983,,,270.0,0.0,135.07140000000004,187.00340000000003,0.7222938192567623,41.937897656072444,-2515640000.0,39593200000.0,True,True
54,2008-12-03,8409.14,8624.19,8234.15,8591.69,8591.69,294680000.0,0.020501028020843,-0.6124964608506807,1.0,2.0,0.0,8638.778666666667,9082.146,9254.453636363636,,10803.07471731326,7361.217282686742,,,172.60000000000036,0.0,138.52340000000007,183.77300000000002,0.7537744935327826,42.98012636815057,-2220960000.0,47891393600.00013,True,True
55,2008-12-04,8587.07,8631.99,8259.4,8376.24,8376.24,280880000.0,-0.0250765565331152,-0.8212981729532608,0.0,2.0,0.0,8634.013,9033.1674,9238.77125,,10689.81195973111,7376.52284026889,,,0.0,215.45000000000073,138.52340000000007,187.50200000000004,0.7387835863084129,42.48853003477644,-2501840000.0,-19508520399.99998,False,False
56,2008-12-05,8376.08,8686.47,8118.5,8635.42,8635.42,346370000.0,0.030942284366255,-0.4987764985620235,1.0,0.0,0.0,8632.152,8985.4346,9228.186140350877,,10542.731063638366,7428.138136361635,,,259.1800000000003,0.0,139.76920000000007,187.50200000000004,0.7454277821036578,42.707454857011555,-2155470000.0,80681695949.99982,True,True
57,2008-12-08,8637.65,9026.41,8637.49,8934.18,8934.18,358970000.0,0.0345970433401039,-0.1098860026796629,1.0,3.0,0.0,8650.659666666666,8941.255599999999,9223.117068965517,,10368.619340081888,7513.891859918109,,,298.7600000000002,0.0,143.3230000000001,187.50200000000004,0.7643811799340811,43.32290485906447,-1796500000.0,36697503099.99984,True,True
58,2008-12-09,8934.1,8934.1,8651.74,8691.33,8691.33,284950000.0,-0.0271821252761865,-0.3760919774365076,0.0,3.0,0.0,8667.845,8907.7732,9214.10372881356,,10276.097911751873,7539.4484882481265,,,0.0,242.85000000000036,143.3230000000001,176.80540000000008,0.8106256935591335,44.77047334756929,-2081450000.0,-28948070500.000042,False,False
59,2008-12-10,8693.0,8879.22,8646.33,8761.42,8761.42,232830000.0,0.0080643583893373,-0.2448125466753812,1.0,3.0,0.0,8657.721666666666,8865.9884,9206.559000000001,,10114.50229199473,7617.474508005271,,,70.09000000000015,0.0,135.02060000000012,176.80540000000008,0.7636678517737584,43.299981399883286,-1848620000.0,-315484649.9998984,False,True
60,2008-12-11,8750.13,8809.45,8512.76,8565.09,8565.09,290540000.0,-0.0224084680337205,-0.4955278115656679,0.0,4.0,0.0,8643.526,8820.6688,9196.043114754098,,9935.373513967359,7705.964086032641,,,0.0,196.32999999999993,135.02060000000012,180.34020000000012,0.7486994025735805,42.81464278375753,-2139160000.0,-27896198099.999832,False,False
61,2008-12-12,8563.1,8682.57,8347.81,8629.68,8629.68,271030000.0,0.0075410766261649,-0.367953741464417,1.0,3.0,0.0,8625.159,8783.6054,9186.908225806452,,9790.77911547627,7776.43168452373,,,64.59000000000015,0.0,136.3124000000001,173.37580000000008,0.7862250671662369,44.016013525862476,-1868130000.0,31030224700.000435,True,True
62,2008-12-15,8628.81,8676.28,8469.03,8564.53,8564.53,229940000.0,-0.0075495267495433,-0.4516541088723275,0.0,3.0,0.0,8599.809666666666,8748.388400000002,9177.029206349205,,9653.489576000622,7843.287223999382,,,0.0,65.14999999999964,136.3124000000001,171.5294000000001,0.7946882575232003,44.28001655395727,-2098070000.0,-1868262500.0,False,False
63,2008-12-16,8565.65,8958.79,8565.65,8924.14,8924.14,337190000.0,0.0419882935782813,0.2869855849085557,1.0,4.0,0.0,8586.62,8727.7612,9173.0778125,,9565.045236916832,7890.477163083169,,,359.60999999999876,0.0,143.5046000000001,164.13180000000008,0.8743253897172883,46.647470845452624,-1760880000.0,54597804799.99941,True,True
64,2008-12-17,8921.91,8961.26,8778.07,8824.34,8824.34,239260000.0,-0.0111831504212169,0.1600265902186197,0.0,4.0,0.0,8559.922,8715.3058,9167.712615384615,,9527.051400060627,7903.560199939374,,,0.0,99.79999999999927,143.5046000000001,155.9600000000001,0.9201372146704284,47.9203885868313,-2000140000.0,-10844459500.000174,False,False
65,2008-12-18,8823.94,8883.36,8527.41,8604.99,8604.99,274080000.0,-0.0248573831017391,-0.2975359852081818,0.0,1.0,0.0,8542.112666666666,8702.2436,9159.186515151516,,9499.223447088658,7905.263752911342,,,0.0,219.35000000000036,143.5046000000001,156.5668000000001,0.9165710738164159,47.82348467731347,-2274220000.0,-27516261600.00012,False,False
66,2008-12-19,8606.5,8787.23,8550.43,8579.11,8579.11,550150000.0,-0.0030075572429484,-0.3298233110688696,0.0,3.0,0.0,8538.223333333333,8702.242,9150.528656716418,,9499.222855735039,7905.261144264961,,,0.0,25.8799999999992,143.5046000000001,143.5062000000001,0.9999888506559299,49.99972126484439,-2824370000.0,-49359457999.99964,False,False
67,2008-12-22,8573.37,8601.41,8372.02,8519.69,8519.69,211090000.0,-0.0069261263697516,-0.4509679414620541,0.0,3.0,0.0,8524.086000000001,8703.612,9141.251617647058,,9499.065443525336,7908.158556474661,,,0.0,59.42000000000007,143.5046000000001,142.1346000000001,1.0096387508741713,50.239813022862414,-3035460000.0,6960692750.000077,True,False
68,2008-12-23,8518.65,8604.12,8391.3,8419.49,8419.49,174640000.0,-0.0117609913036742,-0.6961211745166846,0.0,3.0,0.0,8509.051,8684.2496,9130.791304347826,,9458.596863510022,7909.902336489977,,,0.0,100.20000000000073,124.77620000000007,144.1386000000001,0.8656681832624986,46.39990063767409,-3210100000.0,-13660340799.999886,False,False
69,2008-12-24,8416.86,8498.5,8416.86,8468.48,8468.48,66930000.0,0.0058186422217971,-0.5727072195643703,1.0,2.0,0.0,8501.535,8667.3994,9121.329714285714,,9422.508483320289,7912.2903166797105,,,48.98999999999978,0.0,125.75600000000007,142.6062000000001,0.8818410419743321,46.86054891486208,-3143170000.0,722843999.9999512,True,True
70,2008-12-26,8468.71,8533.07,8461.78,8515.55,8515.55,86760000.0,0.0055582583887545,-0.4229689173725292,1.0,3.0,0.0,8509.298,8666.1522,9112.797605633803,,9422.070145911899,7910.234254088101,,,47.06999999999971,0.0,126.69740000000007,127.94460000000008,0.9902520309571486,49.75510717006621,-3056410000.0,1572525000.0,True,True
