,Date,Open,High,Low,Close*,Adj Close**,Volume,percentage,z-score
1581,2014-10-15,16313.3,16313.3,15855.12,16141.74,16141.74,160380000.0,-0.01063119706236948,-2.6524576224659415
1582,2014-10-16,16137.14,16211.12,15935.22,16117.24,16117.24,131670000.0,-0.001517804152464386,-2.558234764329204
1757,2015-06-29,17936.74,17936.74,17590.55,17596.35,17596.35,116340000.0,-0.019520602139225796,-2.8193345281956748
1763,2015-07-08,17759.01,17759.01,17496.22,17515.42,17515.42,69830000.0,-0.014709530508958069,-2.5026649562491157
1794,2015-08-20,17345.32,17345.32,16990.69,16990.69,16990.69,128530000.0,-0.020637821903966458,-2.896309662637672
1795,2015-08-21,16990.69,16990.69,16459.55,16459.75,16459.75,225170000.0,-0.03124887806204446,-4.002590402918756
1796,2015-08-24,16459.75,16459.75,15370.33,15871.35,15871.35,293920000.0,-0.0357478090493476,-4.484103071574118
1797,2015-08-25,15882.27,16312.94,15651.24,15666.44,15666.44,213220000.0,-0.012910684976388254,-4.039756570530909
1798,2015-08-26,15676.26,16303.75,15676.26,16285.51,16285.51,208420000.0,0.03951567809917256,-2.5296819682918987
1889,2016-01-06,17154.83,17154.83,16817.62,16906.51,16906.51,120250000.0,-0.014695203471599805,-3.0195692936494134
1890,2016-01-07,16888.36,16888.36,16463.63,16514.1,16514.1,176240000.0,-0.023210585744781187,-3.8900700971162534
1891,2016-01-08,16519.17,16651.89,16314.57,16346.45,16346.45,141850000.0,-0.010151930774307871,-3.7437699807368703
1892,2016-01-11,16358.71,16461.85,16232.03,16398.57,16398.57,127790000.0,0.003188459879668093,-3.144859200809438
1893,2016-01-12,16419.11,16591.35,16322.07,16516.22,16516.22,117480000.0,0.007174406061016381,-2.572962862705427
1894,2016-01-13,16526.63,16593.51,16123.2,16151.41,16151.41,153530000.0,-0.022087983812276724,-3.1016581254030893
1896,2016-01-15,16354.33,16354.33,15842.11,15988.08,15988.08,239210000.0,-0.023870126777804535,-2.894002676424933
1897,2016-01-19,16009.45,16171.96,15900.25,16016.02,16016.02,144360000.0,0.0017475519261851424,-2.592204530676636
1898,2016-01-20,15989.45,15989.45,15450.56,15766.74,15766.74,191870000.0,-0.015564416128351577,-2.7741414055981886
2008,2016-06-27,17355.21,17355.21,17063.08,17140.24,17140.24,138740000.0,-0.014971193770383362,-3.342046443692535
2018,2016-07-12,18259.12,18371.95,18259.12,18347.67,18347.67,90170000.0,0.0066242642068630175,2.738084094803223
