Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 05, 2023","34,344.72","34,376.11","34,226.98","34,288.64","34,288.64","274,570,000.00"
"Jul 03, 2023","34,369.78","34,465.60","34,286.54","34,418.47","34,418.47","157,590,000.00"
"Jun 30, 2023","34,269.92","34,467.35","34,269.92","34,407.60","34,407.60","351,060,000.00"
"Jun 29, 2023","33,854.57","34,147.68","33,828.63","34,122.42","34,122.42","279,940,000.00"
"Jun 28, 2023","33,881.38","33,903.76","33,755.92","33,852.66","33,852.66","268,050,000.00"
"Jun 27, 2023","33,739.03","33,975.65","33,730.39","33,926.74","33,926.74","293,210,000.00"
"Jun 26, 2023","33,730.79","33,819.49","33,610.32","33,714.71","33,714.71","265,330,000.00"
"Jun 23, 2023","33,835.66","33,835.66","33,646.49","33,727.43","33,727.43","379,800,000.00"
"Jun 22, 2023","33,900.47","34,003.56","33,835.39","33,946.71","33,946.71","275,600,000.00"
"Jun 21, 2023","33,990.56","34,097.93","33,876.17","33,951.52","33,951.52","323,690,000.00"
"Jun 20, 2023","34,206.66","34,206.66","33,915.93","34,053.87","34,053.87","334,810,000.00"
"Jun 16, 2023","34,464.02","34,588.68","34,285.69","34,299.12","34,299.12","595,230,000.00"
"Jun 15, 2023","33,945.98","34,488.98","33,945.98","34,408.06","34,408.06","361,400,000.00"
"Jun 14, 2023","34,044.70","34,151.42","33,783.55","33,979.33","33,979.33","354,910,000.00"
"Jun 13, 2023","34,111.08","34,310.28","34,107.98","34,212.12","34,212.12","308,790,000.00"
"Jun 12, 2023","33,906.80","34,077.84","33,878.46","34,066.33","34,066.33","308,130,000.00"
"Jun 09, 2023","33,852.44","33,975.32","33,787.16","33,876.78","33,876.78","262,310,000.00"
"Jun 08, 2023","33,656.98","33,873.81","33,630.04","33,833.61","33,833.61","269,160,000.00"
"Jun 07, 2023","33,562.47","33,708.78","33,546.11","33,665.02","33,665.02","347,400,000.00"
"Jun 06, 2023","33,547.67","33,631.25","33,399.69","33,573.28","33,573.28","294,070,000.00"
"Jun 05, 2023","33,771.13","33,804.22","33,552.79","33,562.86","33,562.86","367,170,000.00"
"Jun 02, 2023","33,187.58","33,805.00","33,187.58","33,762.76","33,762.76","383,590,000.00"
"Jun 01, 2023","32,929.85","33,167.75","32,704.51","33,061.57","33,061.57","349,460,000.00"
"May 31, 2023","32,948.71","32,984.83","32,739.73","32,908.27","32,908.27","689,990,000.00"
"May 30, 2023","33,103.65","33,132.70","32,893.97","33,042.78","33,042.78","322,700,000.00"
"May 26, 2023","32,795.50","33,162.06","32,795.50","33,093.34","33,093.34","330,290,000.00"
"May 25, 2023","32,854.26","32,870.43","32,586.56","32,764.65","32,764.65","364,670,000.00"
"May 24, 2023","33,021.76","33,031.75","32,752.44","32,799.92","32,799.92","246,180,000.00"
"May 23, 2023","33,190.60","33,310.17","33,013.29","33,055.51","33,055.51","291,550,000.00"
"May 22, 2023","33,408.54","33,512.30","33,207.85","33,286.58","33,286.58","268,900,000.00"
"May 19, 2023","33,582.95","33,652.90","33,336.66","33,426.63","33,426.63","315,210,000.00"
"May 18, 2023","33,374.56","33,579.91","33,212.09","33,535.91","33,535.91","333,070,000.00"
"May 17, 2023","33,092.48","33,472.38","33,050.41","33,420.77","33,420.77","307,130,000.00"
"May 16, 2023","33,275.37","33,290.85","33,006.19","33,012.14","33,012.14","246,680,000.00"
"May 15, 2023","33,321.21","33,400.30","33,161.93","33,348.60","33,348.60","224,020,000.00"
"May 12, 2023","33,370.58","33,406.40","33,110.61","33,300.62","33,300.62","227,570,000.00"
"May 11, 2023","33,383.89","33,389.88","33,127.70","33,309.51","33,309.51","298,000,000.00"
"May 10, 2023","33,707.20","33,772.09","33,239.45","33,531.33","33,531.33","271,180,000.00"
"May 09, 2023","33,589.85","33,656.40","33,509.72","33,561.81","33,561.81","232,940,000.00"
"May 08, 2023","33,715.15","33,747.49","33,509.23","33,618.69","33,618.69","225,680,000.00"
"May 05, 2023","33,248.55","33,748.43","33,248.55","33,674.38","33,674.38","316,350,000.00"
"May 04, 2023","33,347.78","33,354.86","32,937.50","33,127.74","33,127.74","305,160,000.00"
"May 03, 2023","33,726.64","33,811.84","33,396.05","33,414.24","33,414.24","286,900,000.00"
"May 02, 2023","34,017.62","34,017.75","33,436.66","33,684.53","33,684.53","274,460,000.00"
"May 01, 2023","34,116.81","34,257.83","34,030.14","34,051.70","34,051.70","244,190,000.00"
"Apr 28, 2023","33,797.43","34,104.56","33,728.40","34,098.16","34,098.16","354,310,000.00"
"Apr 27, 2023","33,381.66","33,859.75","33,374.65","33,826.16","33,826.16","343,240,000.00"
"Apr 26, 2023","33,596.34","33,645.83","33,235.85","33,301.87","33,301.87","321,170,000.00"
"Apr 25, 2023","33,828.34","33,875.49","33,525.39","33,530.83","33,530.83","297,880,000.00"
"Apr 24, 2023","33,805.04","33,891.15","33,726.09","33,875.40","33,875.40","252,020,000.00"
"Apr 21, 2023","33,793.60","33,858.83","33,688.57","33,808.96","33,808.96","291,080,000.00"
"Apr 20, 2023","33,740.60","33,875.39","33,677.74","33,786.62","33,786.62","307,910,000.00"
"Apr 19, 2023","33,889.83","33,957.98","33,814.65","33,897.01","33,897.01","251,490,000.00"
"Apr 18, 2023","33,965.16","34,018.62","33,791.89","33,976.63","33,976.63","253,570,000.00"
"Apr 17, 2023","33,930.46","33,991.23","33,796.91","33,987.18","33,987.18","234,530,000.00"
"Apr 14, 2023","33,981.71","34,082.94","33,730.85","33,886.47","33,886.47","276,720,000.00"
"Apr 13, 2023","33,668.97","34,054.99","33,605.17","34,029.69","34,029.69","277,230,000.00"
"Apr 12, 2023","33,764.21","33,895.43","33,593.32","33,646.50","33,646.50","260,300,000.00"
"Apr 11, 2023","33,586.75","33,781.29","33,586.75","33,684.79","33,684.79","241,430,000.00"
"Apr 10, 2023","33,425.25","33,590.24","33,343.43","33,586.52","33,586.52","232,920,000.00"
"Apr 06, 2023","33,420.96","33,525.96","33,325.37","33,485.29","33,485.29","258,680,000.00"
"Apr 05, 2023","33,394.60","33,543.84","33,376.27","33,482.72","33,482.72","286,660,000.00"
"Apr 04, 2023","33,594.79","33,634.72","33,275.62","33,402.38","33,402.38","283,360,000.00"
"Apr 03, 2023","33,245.78","33,632.90","33,245.78","33,601.15","33,601.15","311,890,000.00"
"Mar 31, 2023","32,901.96","33,291.00","32,901.96","33,274.15","33,274.15","353,740,000.00"
"Mar 30, 2023","32,807.43","32,905.80","32,682.87","32,859.03","32,859.03","283,380,000.00"
"Mar 29, 2023","32,566.54","32,728.04","32,539.94","32,717.60","32,717.60","314,110,000.00"
"Mar 28, 2023","32,434.85","32,551.01","32,295.50","32,394.25","32,394.25","248,560,000.00"
"Mar 27, 2023","32,276.72","32,564.00","32,276.72","32,432.08","32,432.08","291,560,000.00"
"Mar 24, 2023","32,038.22","32,257.24","31,805.18","32,237.53","32,237.53","317,070,000.00"
"Mar 23, 2023","32,101.49","32,511.49","31,864.74","32,105.25","32,105.25","335,430,000.00"
"Mar 22, 2023","32,570.19","32,761.89","32,020.46","32,030.11","32,030.11","325,990,000.00"
"Mar 21, 2023","32,420.71","32,593.68","32,346.12","32,560.60","32,560.60","363,190,000.00"
"Mar 20, 2023","31,872.33","32,280.07","31,872.33","32,244.58","32,244.58","357,210,000.00"
"Mar 17, 2023","32,217.32","32,217.32","31,728.70","31,861.98","31,861.98","712,100,000.00"
"Mar 16, 2023","31,827.65","32,281.61","31,571.46","32,246.55","32,246.55","440,940,000.00"
"Mar 15, 2023","31,759.87","31,906.47","31,429.82","31,874.57","31,874.57","420,910,000.00"
"Mar 14, 2023","32,055.29","32,306.59","31,805.40","32,155.40","32,155.40","391,760,000.00"
"Mar 13, 2023","31,819.93","32,240.35","31,624.87","31,819.14","31,819.14","429,090,000.00"
"Mar 10, 2023","32,185.14","32,422.10","31,783.41","31,909.64","31,909.64","397,790,000.00"
"Mar 09, 2023","32,876.83","32,990.46","32,190.60","32,254.86","32,254.86","315,860,000.00"
"Mar 08, 2023","32,872.08","32,903.44","32,612.70","32,798.40","32,798.40","242,750,000.00"
"Mar 07, 2023","33,428.31","33,453.25","32,838.21","32,856.46","32,856.46","299,400,000.00"
"Mar 06, 2023","33,425.32","33,572.22","33,383.47","33,431.44","33,431.44","329,190,000.00"
"Mar 03, 2023","33,076.33","33,405.82","33,008.41","33,390.97","33,390.97","300,050,000.00"
